case,node,ordinal,min,max,draw
tie_early,1,1,0,31,0
tie_early,1,2,0,31,0
tie_early,1,3,0,31,0
tie_early,1,4,0,31,0
tie_early,1,5,0,31,0
tie_early,1,6,0,31,0
tie_early,1,7,0,31,0
tie_early,1,8,0,31,0
tie_early,1,9,0,31,0
tie_early,1,10,0,31,0
tie_early,1,11,0,31,0
tie_early,1,12,0,31,0
tie_early,1,13,0,31,0
tie_early,1,14,0,31,0
tie_early,1,15,0,31,0
tie_early,1,16,0,31,0
tie_early,1,17,0,31,0
tie_early,1,18,0,31,0
tie_early,1,19,0,31,0
tie_early,1,20,0,31,0
tie_early,1,21,0,31,0
tie_early,1,22,0,31,0
tie_early,1,23,0,31,0
tie_early,1,24,0,31,0
tie_early,1,25,0,31,0
tie_early,1,26,0,31,0
tie_early,1,27,0,31,0
tie_early,1,28,0,31,0
tie_early,1,29,0,31,0
tie_early,1,30,0,31,0
tie_early,1,31,0,31,0
tie_early,1,32,0,31,0
tie_early,1,33,0,31,0
tie_early,1,34,0,31,0
tie_early,1,35,0,31,0
tie_early,1,36,0,31,0
tie_early,1,37,0,31,0
tie_early,1,38,0,31,0
tie_early,1,39,0,31,0
tie_early,1,40,0,31,0
tie_early,1,41,0,31,0
tie_early,1,42,0,31,0
tie_early,1,43,0,31,0
tie_early,1,44,0,31,0
tie_early,1,45,0,31,0
tie_early,1,46,0,31,0
tie_early,1,47,0,31,0
tie_early,1,48,0,31,0
tie_early,1,49,0,31,0
tie_early,1,50,0,31,0
tie_early,1,51,0,31,0
tie_early,1,52,0,31,0
tie_early,1,53,0,31,0
tie_early,1,54,0,31,0
tie_early,1,55,0,31,0
tie_early,1,56,0,31,0
tie_early,1,57,0,31,0
tie_early,1,58,0,31,0
tie_early,1,59,0,31,0
tie_early,1,60,0,31,0
tie_early,1,61,0,31,0
tie_early,1,62,0,31,0
tie_early,1,63,0,31,0
tie_early,1,64,0,31,0
tie_early,4,1,0,31,0
tie_early,4,2,0,31,0
tie_early,4,3,0,31,0
tie_early,4,4,0,31,0
tie_early,4,5,0,31,0
tie_early,4,6,0,31,0
tie_early,4,7,0,31,0
tie_early,4,8,0,31,0
tie_early,4,9,0,31,0
tie_early,4,10,0,31,0
tie_early,4,11,0,31,0
